,sex,race,age_band,overall
accuracy,0.849923951882592,0.8495832742473762,0.8304694246413376,0.832314732348515
precision,0.6676073839698627,0.5533157593053035,0.6347703044683716,0.7322020674858591
recall,0.4817446640129006,0.4366258754658384,0.46686415813776155,0.47876546358882793
f1,0.5556851952432752,0.48241137525207006,0.5080473669874888,0.5789636027143739
auc_roc,0.8625538129793279,0.8659509895481939,0.8505658918447648,0.8325676372721761
dp_gap,0.09336602299556,0.09091106028861538,0.18559679226629933,0.18559679226629933
eo_gap,0.014098596618281847,0.09628744945591933,0.04128381943559978,0.09628744945591933
