,sex,race,age_band,overall
accuracy,0.8888986919434074,0.9013234359210079,0.8722150528282451,0.8728540278246982
precision,0.7792767550529707,0.7682230664460438,0.7853559482643048,0.7811882692599909
recall,0.6273777776759253,0.5818820850408937,0.5756728012802684,0.6556561663053182
f1,0.6944841024004406,0.6597462111176228,0.6521015626953146,0.7129385660796006
auc_roc,0.9292308676375675,0.9252071131965239,0.9132278341849119,0.9289627813142188
dp_gap,0.17840683401527457,0.17676306695694483,0.3574034215294463,0.3574034215294463
eo_gap,0.08087938910927217,0.16151468315301387,0.42510542631329074,0.42510542631329074
